r,b,free,buff,cache,bo,in,cs,us,sy,id,wa,Cluster
6,0,670124,51396,493268,4,8800,29703,46,50,1,3,1
8,2,664612,51412,493500,0,8572,28637,52,42,3,4,3
7,0,665544,51412,493684,40,8378,27814,46,47,3,5,9
7,0,656388,51420,494000,16,8441,27725,48,45,2,5,18
6,0,656248,51420,493876,0,8220,27066,50,44,2,4,2
4,2,741728,51540,493492,0,9530,33353,50,46,1,3,6
6,1,745004,51580,493476,28,9389,33321,47,49,1,4,10
11,1,745596,51612,493484,6,9280,33238,51,45,1,3,5
4,3,746452,51612,493448,0,9514,33200,48,47,1,4,7
6,0,745300,51620,493484,0,9347,33146,51,44,1,4,4
0,0,746104,51796,493492,0,115,152,0,1,99,0,19
0,0,745348,52008,493628,84,146,174,0,1,99,0,13
0,0,744340,52056,493656,0,118,151,1,1,99,0,20
0,0,747868,52080,493664,24,141,163,1,1,99,0,11
7,1,743184,52264,493668,0,9480,33435,45,51,1,4,16
4,2,745560,52304,493720,0,9571,33328,46,50,1,4,17
9,0,747664,52304,493652,0,9320,33286,49,46,1,4,14
3,3,749688,52320,493740,0,9054,31117,48,45,2,5,8
5,0,746912,52380,493740,54,9561,33257,46,49,1,4,12
6,0,747240,52380,493740,0,9422,33144,50,45,1,3,15
